City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,wewak,-3.5534,143.6268,28.58,73,100,2.89,PG,1673507592
277,peniche,39.3558,-9.3811,9.69,94,100,3.86,PT,1673507593
278,lasa,46.6166,10.7002,-2.21,67,100,1.94,IT,1673507593
279,waipawa,-41.4122,175.5153,13.45,77,4,4.03,NZ,1673507593
280,quelimane,-17.8786,36.8883,27.18,77,100,1.44,MZ,1673507593
281,jiayuguan,39.8167,98.3,-5.89,38,100,7.32,CN,1673507594
282,dombarovskiy,50.7587,59.5386,-18.85,89,67,3.3,RU,1673507594
283,comodoro rivadavia,-45.8667,-67.5,14.92,63,0,8.23,AR,1673507595
284,san rafael,-34.6177,-68.3301,18.5,39,89,0.98,AR,1673507595
285,hearst,49.6835,-83.6665,-8.59,98,100,0.45,CA,1673507596
286,bilibino,68.0546,166.4372,-26.4,83,82,2.28,RU,1673507596
287,miri,4.4148,114.0089,28.32,70,100,2.73,MY,1673507596
288,bethel,41.3712,-73.414,2.09,71,100,2.06,US,1673507597
289,srednekolymsk,67.45,153.6833,-36.93,99,100,1.98,RU,1673507597
290,bajil,15.0584,43.2851,26.03,67,29,2.13,YE,1673507597
291,taree,-31.9,152.4667,27.26,58,2,3.73,AU,1673507597
292,bengkulu,-3.8004,102.2655,28.24,69,84,2.39,ID,1673507598
293,georgetown,5.4112,100.3354,31.96,62,20,1.54,MY,1673507489
294,arlit,18.7369,7.3853,14.19,21,0,2.46,NE,1673507599
295,haukipudas,65.1765,25.3523,3.03,91,100,7.86,FI,1673507466
296,coahuayana,18.7333,-103.6833,20.18,77,0,1.95,MX,1673507599
297,witu,-2.3889,40.4382,29.09,54,17,3.52,KE,1673507600
298,carutapera,-1.195,-46.02,23.73,94,47,2.09,BR,1673507600
299,nikolskoye,59.7035,30.7861,-4.06,90,100,5.84,RU,1673507601
300,cayenne,4.9333,-52.3333,23.02,100,75,1.03,GF,1673507602
301,kaeo,-35.1,173.7833,22.96,67,59,1.86,NZ,1673507602
302,ancud,-41.8697,-73.8203,8.83,89,4,1.9,CL,1673507602
303,williamsport,41.2412,-77.0011,4.1,77,100,5.66,US,1673507371
304,dongsheng,39.8161,109.9776,3.0,64,7,3.49,CN,1673507603
305,san ramon de la nueva oran,-23.1322,-64.326,21.15,91,85,1.14,AR,1673507603
306,kemijarvi,66.7131,27.4306,1.34,96,100,7.05,FI,1673507603
307,bendigo,-36.7667,144.2833,35.48,35,0,2.68,AU,1673507604
308,belmonte,-15.8631,-38.8828,24.08,87,100,2.71,BR,1673507604
309,bail hongal,15.8167,74.8667,28.58,16,82,2.49,IN,1673507604
310,todos santos,23.45,-110.2167,17.95,37,0,0.93,MX,1673507604
311,shimoda,34.6667,138.95,12.28,53,72,1.81,JP,1673507605
312,leningradskiy,69.3833,178.4167,-29.57,100,100,2.19,RU,1673507605
313,lebu,-37.6167,-73.65,11.48,87,2,7.7,CL,1673507605
314,honiara,-9.4333,159.95,27.12,86,100,1.54,SB,1673507605
315,yatou,37.15,122.3833,8.18,95,100,4.91,CN,1673507606
316,muzhi,65.3667,64.6667,-15.34,96,100,1.69,RU,1673507607
317,bathsheba,13.2167,-59.5167,24.34,88,75,5.66,BB,1673507607
318,alofi,-19.0595,-169.9187,26.45,81,38,3.84,NU,1673507607
319,moa,20.6569,-74.9403,23.28,83,50,4.24,CU,1673507608
320,elko,41.0002,-115.5012,-0.99,91,100,1.92,US,1673507608
321,camiri,-20.05,-63.5167,20.22,94,76,0.99,BO,1673507608
322,skotterud,59.9828,12.1283,3.62,91,100,3.88,NO,1673507609
323,raga,8.4596,25.678,22.47,22,55,3.69,SS,1673507609
324,mayumba,-3.432,10.6554,23.9,91,100,2.97,GA,1673507610
325,bonthe,7.5264,-12.505,22.69,93,26,1.91,SL,1673507610
326,port hawkesbury,45.6169,-61.3485,-5.23,82,55,4.47,CA,1673507610
327,hami,42.8,93.45,-4.79,21,100,8.68,CN,1673507611
328,naqadeh,36.9553,45.388,-1.84,76,97,2.37,IR,1673507611
329,dingle,10.9995,122.6711,25.18,87,100,5.65,PH,1673507611
330,tupik,54.4253,119.9327,-15.66,94,100,1.28,RU,1673507612
331,buraydah,26.326,43.975,11.17,53,72,4.12,SA,1673507612
332,rockhampton,-23.3833,150.5,23.94,53,75,3.09,AU,1673507612
333,rio grande,-32.035,-52.0986,22.19,72,90,6.46,BR,1673507612
334,adrar,20.5022,-10.0711,13.7,18,0,4.74,MR,1673507613
335,watsa,3.0372,29.5355,25.3,27,28,2.42,CD,1673507613
336,jumla,29.2747,82.1838,11.12,27,95,3.2,NP,1673507614
337,tarakan,3.3,117.6333,28.72,79,75,2.57,ID,1673507615
338,colimes,-1.55,-80.0167,22.42,91,100,1.65,EC,1673507616
339,luanda,-8.8368,13.2343,24.79,80,100,2.65,AO,1673507616
340,gushikawa,26.3544,127.8686,23.57,60,0,6.17,JP,1673507617
341,tera,14.0078,0.7531,16.29,25,0,4.36,NE,1673507617
342,badou,7.5833,0.6,21.18,29,79,1.33,TG,1673507618
343,montgomery,39.1501,-77.1997,4.67,91,100,2.57,US,1673507565
344,yanai,33.9667,132.1167,13.0,82,100,0.75,JP,1673507439
345,port elizabeth,-33.918,25.5701,26.72,95,75,2.06,ZA,1673507619
346,bam,29.106,58.357,4.68,36,0,4.97,IR,1673507619
347,katsuura,35.1333,140.3,11.71,54,80,2.41,JP,1673507609
348,mantua,45.1667,10.7833,2.77,90,100,0.89,IT,1673507621
349,half moon bay,37.4636,-122.4286,15.56,84,100,9.77,US,1673507621
350,general pico,-35.6566,-63.7568,16.99,16,100,2.66,AR,1673507622
351,chkalovskoye,44.8392,133.0436,-2.67,94,6,1.2,RU,1673507622
352,bac lieu,9.285,105.7244,26.99,76,88,4.99,VN,1673507405
353,hit,33.6416,42.8251,10.0,37,100,1.43,IQ,1673507623
354,kommunisticheskiy,61.6789,64.4819,-11.06,93,100,4.13,RU,1673507623
355,san andres,12.5847,-81.7006,26.56,78,63,7.67,CO,1673507623
356,saint-francois,46.4154,3.9054,8.69,76,100,3.09,FR,1673507624
357,minot,48.2325,-101.2963,-7.88,79,100,4.63,US,1673507624
358,santa vitoria do palmar,-33.5189,-53.3681,18.57,90,99,2.87,BR,1673507624
359,mount isa,-20.7333,139.5,35.87,41,94,5.66,AU,1673507624
360,shancheng,34.7953,116.0817,9.5,81,100,1.41,CN,1673507625
361,auki,-8.7676,160.7034,26.76,84,100,3.03,SB,1673507626
362,winnemucca,40.973,-117.7357,3.03,75,100,1.54,US,1673507626
363,matara,5.9485,80.5353,28.01,55,67,1.86,LK,1673507404
